Pokemon_1,Pokemon_2,Winner
Hypno,Arbok,Arbok
Whimsicott,Wailmer,Whimsicott
Gorebyss,Kangaskhan,Kangaskhan
Remoraid,Mamoswine,Mamoswine
AerodactylMega Aerodactyl,Farfetch'd,AerodactylMega Aerodactyl
KyuremWhite Kyurem,Spinda,KyuremWhite Kyurem
Palpitoad,Turtwig,Turtwig
Togetic,Castform,Castform
Manaphy,Dewott,Manaphy
Electivire,Smoochum,Electivire
Haunter,Gengar,Gengar
Wobbuffet,Graveler,Graveler
MawileMega Mawile,Gabite,Gabite
Kirlia,Raikou,Raikou
Mightyena,Dewott,Dewott
Lapras,Duskull,Lapras
Alakazam,Drowzee,Alakazam
Manaphy,Cherubi,Manaphy
Aerodactyl,Noctowl,Aerodactyl
Slowpoke,Mankey,Mankey
Larvesta,HoopaHoopa Confined,HoopaHoopa Confined
Magnezone,Smoochum,Magnezone
Venipede,Sharpedo,Sharpedo
Hariyama,AbsolMega Absol,AbsolMega Absol
Hitmonlee,Sunflora,Sunflora
CameruptMega Camerupt,Boldore,CameruptMega Camerupt
Munna,Pikachu,Pikachu
Metagross,Nidoran♀,Metagross
GourgeistSmall Size,Poliwag,GourgeistSmall Size
Cresselia,PumpkabooSmall Size,Cresselia
MetagrossMega Metagross,Staraptor,MetagrossMega Metagross
Shieldon,HeracrossMega Heracross,HeracrossMega Heracross
Wynaut,Groudon,Groudon
Raticate,SlowbroMega Slowbro,SlowbroMega Slowbro
Frillish,KeldeoOrdinary Forme,KeldeoOrdinary Forme
HoopaHoopa Unbound,Wartortle,HoopaHoopa Unbound
Lanturn,Ledian,Ledian
Spheal,Klink,Klink
Charmeleon,VenusaurMega Venusaur,VenusaurMega Venusaur
Gothitelle,KyuremWhite Kyurem,KyuremWhite Kyurem
Zapdos,RotomFan Rotom,RotomFan Rotom
Kingler,Fraxure,Fraxure
Relicanth,Heracross,Heracross
Poliwhirl,AbsolMega Absol,AbsolMega Absol
Dialga,Swablu,Dialga
Togetic,Murkrow,Murkrow
Buneary,Joltik,Buneary
Blastoise,Magnezone,Magnezone
Hoothoot,Swampert,Swampert
Taillow,Volbeat,Volbeat
Poochyena,Persian,Persian
MewtwoMega Mewtwo Y,Clefairy,MewtwoMega Mewtwo Y
Wailmer,Mightyena,Mightyena
Lilligant,RotomHeat Rotom,RotomHeat Rotom
Snubbull,LatiosMega Latios,LatiosMega Latios
Alakazam,Zubat,Alakazam
Druddigon,Tangrowth,Tangrowth
DeoxysDefense Forme,Nuzleaf,DeoxysDefense Forme
Pansage,Krabby,Pansage
Caterpie,Trevenant,Trevenant
WormadamPlant Cloak,Vulpix,WormadamPlant Cloak
Registeel,Amaura,Registeel
Wailmer,Zangoose,Zangoose
