Total_p1,Type1_p1,Type2_p1,Speed_p1,Total_p2,Type1_p2,Type2_p2,Speed_p2,Winner,Win_Probability
300,Grass,Poison,40,290,Ice,Water,25,1,0.6741573033707865
385,Water,,90,300,Ground,Psychic,55,1,0.719626168224299
495,Rock,,58,580,Water,Fighting,108,0,0.0
340,Grass,Flying,80,495,Rock,,58,0,0.0
430,Dark,Ice,115,780,Dragon,Flying,115,0,0.0
490,Normal,,90,300,Dragon,,50,1,1.0
320,Electric,,90,555,Ghost,,75,0,0.0
483,Psychic,,67,580,Fire,,100,0,0.0
600,Bug,Steel,75,278,Normal,Flying,62,1,1.0
530,Grass,,120,405,Fire,Fighting,81,1,1.0
442,Normal,Flying,100,290,Ice,Water,25,1,1.0
580,Flying,,111,600,Normal,Psychic,90,0,0.4915254237288136
600,Bug,Fighting,75,580,Ice,,50,1,0.6741573033707865
288,Poison,,55,428,Electric,Flying,103,0,0.0
330,Dark,Fire,65,510,Fighting,Psychic,100,0,0.0
600,Psychic,,90,290,Psychic,,45,1,1.0
205,Bug,,15,680,Dragon,Fire,90,0,0.0
365,Electric,,45,180,Grass,,30,1,1.0
320,Electric,,90,430,Water,Ground,35,0,0.0
500,Bug,Flying,105,500,Water,,70,0,0.5
413,Normal,,97,472,Bug,Electric,108,0,0.0
580,Water,Fighting,108,350,Grass,,52,1,1.0
530,Water,,78,310,Fire,,45,1,1.0
600,Dark,Fire,115,319,Bug,Electric,65,1,1.0
525,Dark,,65,275,Ghost,Fire,20,1,1.0
205,Bug,,15,263,Electric,,45,0,0.0
300,Dragon,,50,580,Fire,,100,0,0.0
670,Ground,,90,521,Rock,Ice,58,1,0.7200429876410532
405,Water,,58,465,Steel,Flying,70,0,0.0
505,Fighting,,55,270,Water,Flying,85,1,1.0
700,Rock,Dark,71,355,Water,Rock,22,1,1.0
600,Bug,Steel,75,440,Rock,Psychic,70,1,1.0
485,Electric,,110,310,Normal,Flying,75,1,1.0
420,Normal,,100,363,Electric,,60,1,0.5363984674329502
350,Normal,,85,410,Dragon,,67,1,0.4605263157894737
600,Dragon,Psychic,110,580,Psychic,,95,0,0.3409090909090909
305,Fighting,,35,530,Grass,,120,0,0.0
310,Normal,Flying,75,615,Rock,Flying,150,0,0.0
590,Dragon,Fairy,80,600,Dragon,Ground,102,0,0.0
634,Fire,Flying,100,425,Psychic,,65,1,1.0
523,Electric,,70,600,Bug,Steel,99,0,0.0
320,Grass,Poison,30,670,Normal,,100,0,0.0
260,Normal,,50,530,Water,Dark,122,0,0.0
500,Fire,,105,395,Ice,,59,0,0.7168458781362007
500,Steel,Psychic,33,470,Steel,Fairy,75,0,0.0
490,Dragon,Flying,80,498,Ghost,Flying,80,1,0.3297442799461642
340,Grass,Dark,60,420,Steel,Psychic,50,1,0.4473684210526316
318,Grass,,31,510,Dark,Flying,80,0,0.0
410,Fire,,90,278,Normal,Flying,62,1,1.0
292,Psychic,,24,483,Ghost,,30,0,0.0
600,Dark,Fire,115,480,Water,,80,0,0.38461538461538464
330,Electric,,100,362,Rock,Dragon,48,0,0.31309297912713474
500,Poison,,50,458,Normal,,90,0,0.0
215,Normal,,20,480,Steel,Fairy,50,0,0.0
262,Normal,Flying,50,560,Fire,Ground,20,0,0.0
460,Water,Electric,67,250,Ice,Ground,50,1,1.0
280,Grass,Fairy,66,370,Dark,Flying,60,0,0.0
505,Poison,Ground,76,360,Normal,,60,1,1.0
